Series Name,"Country Name","2015_l"
"Life expectancy at birth, total (years)","Afghanistan","62.659"
"Life expectancy at birth, total (years)","Albania","78.644"
"Life expectancy at birth, total (years)","Algeria","75.622"
"Life expectancy at birth, total (years)","American Samoa",".."
"Life expectancy at birth, total (years)","Andorra",".."
"Life expectancy at birth, total (years)","Angola","60.655"
"Life expectancy at birth, total (years)","Antigua and Barbuda","77.913"
"Life expectancy at birth, total (years)","Argentina","76.76"
"Life expectancy at birth, total (years)","Armenia","74.436"
"Life expectancy at birth, total (years)","Aruba","75.683"
"Life expectancy at birth, total (years)","Australia","82.4"
"Life expectancy at birth, total (years)","Austria","81.190243902439"
"Life expectancy at birth, total (years)","Azerbaijan","71.451"
"Life expectancy at birth, total (years)","Bahamas, The","73.104"
"Life expectancy at birth, total (years)","Bahrain","79.405"
"Life expectancy at birth, total (years)","Bangladesh","70.491"
"Life expectancy at birth, total (years)","Barbados","76.65"
"Life expectancy at birth, total (years)","Belarus","73.6243902439025"
"Life expectancy at birth, total (years)","Belgium","80.9926829268293"
"Life expectancy at birth, total (years)","Belize","73.187"
"Life expectancy at birth, total (years)","Benin","59.377"
"Life expectancy at birth, total (years)","Bermuda","81.0121951219512"
"Life expectancy at birth, total (years)","Bhutan","70.343"
"Life expectancy at birth, total (years)","Bolivia","67.318"
"Life expectancy at birth, total (years)","Bosnia and Herzegovina","76.182"
"Life expectancy at birth, total (years)","Botswana","63.818"
"Life expectancy at birth, total (years)","Brazil","74.332"
"Life expectancy at birth, total (years)","British Virgin Islands","75.675"
"Life expectancy at birth, total (years)","Brunei Darussalam","74.75"
"Life expectancy at birth, total (years)","Bulgaria","74.6146341463415"
"Life expectancy at birth, total (years)","Burkina Faso","58.845"
"Life expectancy at birth, total (years)","Burundi","60.217"
"Life expectancy at birth, total (years)","Cabo Verde","74.62"
"Life expectancy at birth, total (years)","Cambodia","69.873"
"Life expectancy at birth, total (years)","Cameroon","59.658"
"Life expectancy at birth, total (years)","Canada","81.9"
"Life expectancy at birth, total (years)","Cayman Islands",".."
"Life expectancy at birth, total (years)","Central African Republic","52.793"
"Life expectancy at birth, total (years)","Chad","51.589"
"Life expectancy at birth, total (years)","Channel Islands","81.433"
"Life expectancy at birth, total (years)","Chile","79.746"
"Life expectancy at birth, total (years)","China","76.977"
"Life expectancy at birth, total (years)","Colombia","76.257"
"Life expectancy at birth, total (years)","Comoros","62.896"
"Life expectancy at birth, total (years)","Congo, Dem. Rep.","58.49"
"Life expectancy at birth, total (years)","Congo, Rep.","63.233"
"Life expectancy at birth, total (years)","Costa Rica","79.086"
"Life expectancy at birth, total (years)","Cote d'Ivoire","57.762"
"Life expectancy at birth, total (years)","Croatia","77.2756097560976"
"Life expectancy at birth, total (years)","Cuba","77.772"
"Life expectancy at birth, total (years)","Curacao","78.0756097560976"
"Life expectancy at birth, total (years)","Cyprus","80.966"
"Life expectancy at birth, total (years)","Czechia","78.5780487804878"
"Life expectancy at birth, total (years)","Denmark","80.7024390243902"
"Life expectancy at birth, total (years)","Djibouti","61.957"
"Life expectancy at birth, total (years)","Dominica",".."
"Life expectancy at birth, total (years)","Dominican Republic","72.953"
"Life expectancy at birth, total (years)","Ecuador","76.789"
"Life expectancy at birth, total (years)","Egypt, Arab Rep.","70.483"
"Life expectancy at birth, total (years)","El Salvador","71.814"
"Life expectancy at birth, total (years)","Equatorial Guinea","60.103"
"Life expectancy at birth, total (years)","Eritrea","66.033"
"Life expectancy at birth, total (years)","Estonia","77.590243902439"
"Life expectancy at birth, total (years)","Eswatini","55.019"
"Life expectancy at birth, total (years)","Ethiopia","63.649"
"Life expectancy at birth, total (years)","Faroe Islands","81.7926829268293"
"Life expectancy at birth, total (years)","Fiji","66.844"
"Life expectancy at birth, total (years)","Finland","81.4804878048781"
"Life expectancy at birth, total (years)","France","82.3219512195122"
"Life expectancy at birth, total (years)","French Polynesia","82.354"
"Life expectancy at birth, total (years)","Gabon","65.46"
"Life expectancy at birth, total (years)","Gambia, The","62.494"
"Life expectancy at birth, total (years)","Georgia","73.297"
"Life expectancy at birth, total (years)","Germany","80.6414634146341"
"Life expectancy at birth, total (years)","Ghana","63.175"
"Life expectancy at birth, total (years)","Gibraltar","80.427"
"Life expectancy at birth, total (years)","Greece","81.0365853658537"
"Life expectancy at birth, total (years)","Greenland","71.9773170731707"
"Life expectancy at birth, total (years)","Grenada","75.013"
"Life expectancy at birth, total (years)","Guam","76.616"
"Life expectancy at birth, total (years)","Guatemala","72.103"
"Life expectancy at birth, total (years)","Guinea","58.134"
"Life expectancy at birth, total (years)","Guinea-Bissau","59.128"
"Life expectancy at birth, total (years)","Guyana","68.201"
"Life expectancy at birth, total (years)","Haiti","63.237"
"Life expectancy at birth, total (years)","Honduras","72.487"
"Life expectancy at birth, total (years)","Hong Kong SAR, China","84.2780487804878"
"Life expectancy at birth, total (years)","Hungary","75.5682926829269"
"Life expectancy at birth, total (years)","Iceland","82.4682926829268"
"Life expectancy at birth, total (years)","India","69.636"
"Life expectancy at birth, total (years)","Indonesia","69.699"
"Life expectancy at birth, total (years)","Iran, Islamic Rep.","75.124"
"Life expectancy at birth, total (years)","Iraq","69.44"
"Life expectancy at birth, total (years)","Ireland","81.4536585365854"
"Life expectancy at birth, total (years)","Isle of Man","78.905"
"Life expectancy at birth, total (years)","Israel","82.0512195121951"
"Life expectancy at birth, total (years)","Italy","82.5439024390244"
"Life expectancy at birth, total (years)","Jamaica","72.394"
"Life expectancy at birth, total (years)","Japan","83.7939024390244"
"Life expectancy at birth, total (years)","Jordan","75.011"
"Life expectancy at birth, total (years)","Kazakhstan","71.97"
"Life expectancy at birth, total (years)","Kenya","61.892"
"Life expectancy at birth, total (years)","Kiribati","66.059"
"Life expectancy at birth, total (years)","Korea, Dem. People's Rep.","72.784"
"Life expectancy at birth, total (years)","Korea, Rep.","82.0243902439024"
"Life expectancy at birth, total (years)","Kosovo","78.922"
"Life expectancy at birth, total (years)","Kuwait","79.562"
"Life expectancy at birth, total (years)","Kyrgyz Republic","70.6512195121951"
"Life expectancy at birth, total (years)","Lao PDR","66.67"
"Life expectancy at birth, total (years)","Latvia","74.4804878048781"
"Life expectancy at birth, total (years)","Lebanon","79.229"
"Life expectancy at birth, total (years)","Lesotho","51.101"
"Life expectancy at birth, total (years)","Liberia","59.148"
"Life expectancy at birth, total (years)","Libya","71.698"
"Life expectancy at birth, total (years)","Liechtenstein","82.6560975609756"
"Life expectancy at birth, total (years)","Lithuania","74.3219512195122"
"Life expectancy at birth, total (years)","Luxembourg","82.2926829268293"
"Life expectancy at birth, total (years)","Macao SAR, China","83.984"
"Life expectancy at birth, total (years)","Madagascar","64.339"
"Life expectancy at birth, total (years)","Malawi","61.378"
"Life expectancy at birth, total (years)","Malaysia","75.094"
